date,open ,high ,low ,close,adj_close,volume
2021-03-23,337.619995,341.890015,331.329987,331.769989,325.408813,2457500
2021-03-24,333.420013,336.940002,328.440002,328.649994,322.348663,3332200
2021-03-25,327.350006,331.390015,321.920013,330.549988,324.212219,2804700
2021-03-26,334.51001,335.450012,322.690002,327.390015,321.112854,3082600
2021-03-29,320.350006,327.76001,317.720001,325.730011,319.48468,4533200
2021-03-30,329.410004,335.75,328.850006,332.01001,325.644226,2717300
2021-03-31,330.230011,332.649994,325.440002,327,320.730286,2624500
2021-04-01,324.299988,329.660004,324.160004,327.640015,321.358032,2659000
2021-04-05,332.850006,332.850006,323.049988,323.540009,317.336639,3235000
2021-04-06,324.48999,328.540009,324,327.059998,320.789154,1801700
2021-04-07,327.700012,329.200012,323.350006,326.549988,320.28891,2157300
2021-04-08,324.290009,331.48999,322.970001,331.140015,324.790924,2402800
2021-04-09,334,334.899994,328.790009,330.809998,324.467255,2347100
2021-04-12,332.670013,334.480011,329.940002,331.839996,325.477509,2318800
2021-04-13,329.51001,330.049988,324.179993,327.679993,321.397278,3575900
2021-04-14,328.549988,344.470001,326.149994,335.350006,328.920227,9876800
2021-04-15,338.899994,341.350006,334.540009,338.549988,332.058838,4354800
2021-04-16,340.290009,343.73999,338.619995,342.309998,335.746735,4231900
2021-04-19,340,344.429993,336.600006,343.089996,336.51178,3228200
2021-04-20,339.970001,340.470001,329.350006,331.880005,325.516754,3662300
2021-04-21,330,335.470001,327.559998,335.269989,328.841705,2733300
2021-04-22,334.619995,336.970001,330.290009,330.850006,324.50647,2165200
2021-04-23,331.25,340.670013,330.720001,339.350006,332.843506,2163800
2021-04-26,341.940002,345.899994,340.890015,343.519989,336.933502,2171500
2021-04-27,344,347.549988,343.660004,346.630005,339.983917,2088600
2021-04-28,348,350.119995,346.089996,348.109985,341.435547,2140900
2021-04-29,350.549988,353.829987,347.480011,352.970001,346.202362,2584400
2021-04-30,351.119995,352.820007,347.200012,348.450012,341.769043,2101100
2021-05-03,350.339996,354.059998,349.26001,350.160004,343.446228,1871700
2021-05-04,348.899994,351.779999,342.570007,349.839996,343.132324,2831400
2021-05-05,352,359.140015,348.549988,357.619995,350.763214,2786800
2021-05-06,359.769989,366.299988,356.5,365.970001,358.953094,3048700
2021-05-07,362.299988,371.649994,360.929993,370.890015,363.778778,3378100
2021-05-10,373.5,376.980011,368.5,368.679993,361.611115,3396300
2021-05-11,363,368.630005,358.619995,359.920013,353.019165,3734300
2021-05-12,363.070007,368.130005,353.269989,354.399994,347.604919,3309800
2021-05-13,353.25,360.890015,353.25,358.809998,351.930389,2673900
2021-05-14,362,369.51001,361.700012,368.769989,361.699432,2732300
2021-05-17,367.779999,370.700012,364.5,369.25,362.170227,1826100
2021-05-18,371.380005,373.079987,364,364.559998,357.57016,2018600
2021-05-19,360,360,353.929993,358.380005,351.508667,3696000
2021-05-20,358.980011,361.950012,353.350006,359.779999,352.881775,1919600
2021-05-21,361.48999,367.140015,360.51001,366.26001,359.237518,2657500
2021-05-24,367.320007,369.720001,365.51001,368.290009,361.228638,1834300
2021-05-25,369.910004,373.769989,364.089996,364.51001,357.521088,2631000
2021-05-26,365,368.790009,361.910004,367.399994,360.355682,2121200
2021-05-27,371.329987,373.549988,367.299988,371.369995,364.249573,3897000
2021-05-28,372,373.070007,368.26001,372.019989,366.119415,2169700
